price,mileage,power,make_model,date,fuel,gear,offer_type,version,link
23990,150,218,Honda,20-Mar,Gasoline,Manual,Demonstration,CBR1000RR-R Fireblade SP,/offers/honda-others-cbr1000rr-r-fireblade-sp-gasoline-red-c867308b-8d2f-42bd-943a-eb278d5dbe2d
7500,2871,90,BMW F 800 GT,18-Sep,Gasoline,Manual,Used,,/offers/bmw-f-800-gt-gasoline-white-f65273c6-601b-7e55-e053-0100007f0a0f
800,1700,3,Nova Motors Retro Star,19-Oct,Gasoline,,Used,,/offers/nova-motors-retro-star-gasoline-red-f8e797ba-ec6f-9427-e053-0100007f83cc
14990,24345,,Aprilia RSV4,16-Mar,Gasoline,,Used,RF,/offers/aprilia-rsv4-rf-gasoline-silver-1b51fe03-90ac-4fbd-bbce-6b6e69a6106f
6200,25000,128,Kawasaki Ninja ZX-6R,9-Aug,Gasoline,,Used,,/offers/kawasaki-ninja-zx-6r-gasoline-blue-2f8da7b1-3d19-465f-a6fd-5fa64c64edda
1500,3000,1,Aprilia Mojito 50,10-Jul,Gasoline,,Used,,/offers/aprilia-mojito-50-gasoline-black-9283e0e0-2424-4dd0-8e24-68c9dc74e575
10500,1,71,Suzuki V-Strom 650,21-Dec,Gasoline,,Pre-registered,XT ABS DL 650 XT,/offers/suzuki-v-strom-650-xt-abs-dl-650-xt-gasoline-yellow-ab671b3d-5ffe-4083-8a54-bc2b7191c96b
8500,13000,105,Yamaha MT-09,18-May,Gasoline,,Used,,/offers/yamaha-mt-09-gasoline-blue-ab3bb425-ad22-4d3e-9472-90255144fca6
2000,19000,15,Kymco Super Dink 125,16-Oct,Gasoline,,Used,,/offers/kymco-super-dink-125-gasoline-grey-67c53fc4-1b92-d71f-e053-0100007f1efc
8250,6400,126,Yamaha MT-09,19-Jun,Gasoline,,Used,,/offers/yamaha-mt-09-gasoline-grey-936ab0c6-480d-4165-e053-0100007f6df7
23600,2900,84,Harley-Davidson Sport Glide,19-Jun,Gasoline,Manual,Used,,/offers/harley-davidson-sport-glide-gasoline-black-94632abb-770f-1d6e-e053-0100007f0db9
12500,1750,126,Indian FTR 1200,19-Jul,Gasoline,,Used,,/offers/indian-ftr-1200-gasoline-black-64e31ec7-2ea2-2028-e053-0100007f45fc
18000,700,41,Ural Ranger,21-Mar,Gasoline,Manual,Used,Euro4 2WD,/offers/ural-ranger-euro4-2wd-gasoline-black-ce674cc5-eb45-e408-e053-0100007fcab5
1150,14000,10,Kymco Agility 125,15-May,Gasoline,,Used,,/offers/kymco-agility-125-gasoline-black-9aebaf58-787b-4e65-a090-07dccc22c40f
10000,80000,125,Harley-Davidson Night Rod,10-Sep,Gasoline,Manual,Used,Night rod special,/offers/harley-davidson-night-rod-night-rod-special-gasoline-black-95dc7890-de65-4df8-b2cd-78187a8afd67
10000,15300,110,Ducati Hypermotard 939,18-Jul,Gasoline,,Used,,/offers/ducati-hypermotard-939-gasoline-red-fc35a0c6-5231-c44d-e053-0100007fb6a4
12200,4178,110,BMW R nineT,18-Jun,Gasoline,,Used,,/offers/bmw-r-ninet-gasoline-white-a306f0c3-f366-cd51-e053-0100007f3a34
12500,18000,82,Harley-Davidson Road King,Feb-96,Gasoline,Manual,Used,FLHR Road King,/offers/harley-davidson-road-king-flhr-road-king-gasoline-black-40f558ba-a6ad-4cc6-ad2e-b434e30e1c45
9490,10000,,Kawasaki Versys 650,19-Jan,,Manual,Used,GRAND TOURER,/offers/kawasaki-versys-650-grand-tourer-black-0979e668-f61d-446e-94c6-38beb6c10a0d
9490,12600,61,BMW R 1200 C Montauk,4-Jan,Gasoline,Manual,Used,,/offers/bmw-r-1200-c-montauk-gasoline-silver-8887fc9e-e7d5-4016-b925-2e0e60b28835
10000,49500,64,Harley-Davidson Softail,4-May,Gasoline,,Used,,/offers/harley-davidson-softail-gasoline-blue-5b6d9bc5-ece5-3e75-e053-0100007f2c54
9999,0,,Yamaha,21-Jan,,,New,TRACER 7,/offers/yamaha-others-tracer-7-grey-6d7af473-3e07-44d3-999e-9bb118d39c6d
10950,10551,185,Suzuki,15-May,Gasoline,Manual,Used,"Sport GSX R 1000, ABS, Complete titanium Yoshimura",/offers/suzuki-others-sport-gsx-r-1000-abs-complete-titanium-yoshimura-gasoline-blue-e489ad1d-e9de-44e9-a02c-f5a7800e161e
16690,0,,BMW R nineT,19-Jan,,,New,Pure,/offers/bmw-r-ninet-pure-white-f695d424-cf0b-4620-8b8e-fbf340c76812
1100,60,,Others,18-Sep,,Automatic,Used,E-Mover 800W Metallkorb/Kofferraum/Spiegel,/offers/others-others-e-mover-800w-metallkorb-kofferraum-spiegel-red-abb4c5ae-91e4-4914-8a3a-eca09e64a452
8000,5200,68,Peugeot Metropolis,16-Mar,Gasoline,Automatic,Used,400,/offers/peugeot-metropolis-400-gasoline-red-854c0b5f-4633-a57c-e053-e350040a848c
6590,27630,68,Triumph Bonneville T100,9-Jun,,,Used,Black,/offers/triumph-bonneville-t100-black-black-423cfc1f-31e3-4fd1-bff7-b864ec4b2465
7000,8470,61,Kawasaki Vulcan S,19-Jul,Gasoline,,Used,,/offers/kawasaki-vulcan-s-gasoline-orange-27fd18c7-ee6b-a875-e053-0100007f7184
7650,14500,131,Triumph Speed Triple 1050,10-Mar,Gasoline,,Used,,/offers/triumph-speed-triple-1050-gasoline-white-d47454c4-d022-2e53-e053-0100007ff30b
8300,52000,57,Harley-Davidson Low Rider,Apr-89,Gasoline,Manual,Used,,/offers/harley-davidson-low-rider-gasoline-black-92c5e5bc-c485-fc48-e053-0100007f6e8e
11300,41973,152,Ducati Multistrada 1200,16-Jul,Gasoline,Manual,Used,"Enduro 1.Hand , Scheckheftgepfl",/offers/ducati-multistrada-1200-enduro-1-hand-scheckheftgepfl-gasoline-white-d5838155-4b34-4c2a-bb71-e6b392576d25
19990,6000,203,Kawasaki,19-Jan,,,Used,ZX 10 R SE,/offers/kawasaki-others-zx-10-r-se-black-241ed7a5-abfa-47dc-beb7-387ede703440
100,9288,4,Piaggio NRG 50,20-Jun,Gasoline,Automatic,Used,Typ C21,/offers/piaggio-nrg-50-typ-c21-gasoline-black-3805b163-e275-4e33-af50-cda614df5ad1
13490,7883,165,BMW S 1000 XR,18-Jul,Gasoline,Manual,Used,ABS Koffer Topcase 1.Hand,/offers/bmw-s-1000-xr-abs-koffer-topcase-1-hand-gasoline-red-3f97c442-f1ad-4774-bb8e-02ae7465c1c6
10000,36000,148,Ducati Multistrada 1200,12-Mar,Gasoline,,Used,Ducati Multistrada 1200 S Sport full carbon,/offers/ducati-multistrada-1200-ducati-multistrada-1200-s-sport-full-carbon-gasoline-red-8735b410-0bd9-4abc-93c4-964913a694e3
12400,99000,101,Harley-Davidson Road King,9-May,Gasoline,Manual,Used,"Classic ABS FLHRC,Top-Zustand,Voll-Ausstattung!",/offers/harley-davidson-road-king-classic-abs-flhrc-top-zustand-voll-ausstattung-gasoline-black-c4210958-3bfa-4989-94aa-49d5a81d5500
9500,35000,117,Harley-Davidson V-Rod,3-Jul,Gasoline,,Used,Anniversary,/offers/harley-davidson-v-rod-anniversary-gasoline-silver-528650b5-a46a-0d32-e053-0100007fedec
6990,4935,110,MV Agusta Brutale 675,12-Jul,Gasoline,Manual,Used,,/offers/mv-agusta-brutale-675-gasoline-white-1290a8b9-4f56-f606-e053-0100007fa1f8
9000,25000,71,Harley-Davidson Late Shovel,Jul-80,Gasoline,,Used,,/offers/harley-davidson-late-shovel-gasoline-black-b227ffc1-ff3b-2c1b-e053-0100007f1ccc
12500,20000,102,Honda CRF 100,18-Jul,Gasoline,,Used,,/offers/honda-crf-100-gasoline-blue-82d740c4-d927-6d07-e053-0100007fae4d
10750,6000,145,Kawasaki Z 1000,19-May,Gasoline,,Used,SX DE 2019 AVEC 6000 KMS ETAT NEUF GARANTIE DE 12,/offers/kawasaki-z-1000-sx-de-2019-avec-6000-kms-etat-neuf-garantie-de-12-gasoline-green-41e5495e-db8a-4daf-acc6-c7961d708e6d
10790,16829,79,Triumph Bonneville T120,16-Jan,,,Used,,/offers/triumph-bonneville-t120-black-8a5ed8a3-36cc-4a37-9817-1549e2018b9f
11500,30000,170,KTM 1190 RC8,12-Jun,Gasoline,Manual,Used,,/offers/ktm-1190-rc8-gasoline-black-9ed6b47a-88b6-4b81-ac8d-72a36c8755c9
7200,1,1,Yamaha RD 350,Jan-83,Two Stroke Gasoline,,Antique / Classic,4L0 - FMI,/offers/yamaha-rd-350-4l0-fmi-two-stroke-gasoline-blue-03110eba-d9be-5e38-e053-0100007f7983
